Save your money and buy elsewhere,When I received the phone it had a few dings and dents. Fine with me as it wasn’t to be a daily driver or anything special but the most irritating thing was the promise of 90% or better battery life all but guaranteed by Amazon itself. This phone arrived at 87%. I called and was given some money off which I never saw. I had to sell the phone 3rd party at a loss to make SOME of my money back. This was the 2nd iPhone I bought and had issues with. The XS max I bought before it ended up overheating so bad it wasn’t safe to handle when charging. The iPhone 12 I’m currently typing on however showed up with 1 tiny scratch and 100% battery life so I’m thinking I got lucky on that one. Needless to say I’m not overly thrilled with Amazons false guarantees of quality or the “discount” I supposedly got but in reality never did. Luck of the draw I suppose.,
Nice phone,"Good price, works well",5.0 out of 5 stars
Wifi issue,The phone looks great. However I can’t connect to wifi or enable the Bluetooth. I won’t be purchasing from this company again.,
Legit,Phone came clean and works very good. Doesn’t lag or anything,5.0 out of 5 stars
GOOD PHONE FOR A GOOD PRICE,Excellent quick replacement phone when you're in a bind,5.0 out of 5 stars
Just what I needed,Next time I buy another phone I will use the same company.  The phone I received looks bran new and I love it.,5.0 out of 5 stars
Great phone,For a renewal phone it works flawlessly.  My son loves it.  Will purchase again.,5.0 out of 5 stars
The phone went black,The screen just shut down while playing music and never came back on while the keypad sounded as if someone was holding buttons. I sent it back for a refund that I’m eligible for. They’ve messaged me asking me to log out from the iCloud twice which I’ve done so after the first time but still hasn’t processed my refund. Gave me a message for the weekend yet sent another message on the same weekend not answering where my money is but asking me to log out of an account that’s logged out of already.,
Estaba en excelentes condiciones,Buen artículo,5.0 out of 5 stars
Phone is like new!,"This phone is like new.  The battery was over 90%, the screen was an original Apple product, and there were literally zero noticeable scratches or dings. I was concerned about quality after reading some bad reviews, but was extremely happy with my purchase.  Based on my experience with this purchase, I would definitely recommend without any hesitation.",5.0 out of 5 stars
Straight A’s got her her 1st IPhone,My daughter loves it,5.0 out of 5 stars
Phone damaged,I got a very badly damaged phone. The speakers were filled with gunk and dirt. Returned it immediately.,
Like new,Very happy,5.0 out of 5 stars
Excellent condition iPhone,"I bought the excellent condition iPhone XR. Based on some reviews, I expected that it might have some wear and tear but I was surprised to find the iPhone looked almost as good as new. The screen and camera were in good condition and the battery capacity was 84%. Very satisfied with this purchase.",5.0 out of 5 stars
Nice phone!,I was skeptical of how well it would work but it has been great since I bought it two months ago. It came unblemished and really very pretty. Hopefully it will continue to work well for a couple of years at least.,5.0 out of 5 stars
Great iPhone,"The quality of the iPhone was excellent and it came free of scratches . The charger and screen protection were included with no additional charge. My two previous products I purchased with Amazon were of poor quality and Amazon withdrew my reviews because of my honest reviews. However, the iPhone I recently purchased was excellent.",5.0 out of 5 stars
Condition,As advertised,5.0 out of 5 stars
Iphone xr,Just received this phone last week. The seller did a great job cleaning up this phone. Its like it is brand new and works great. Pictures are very good. Im not sure of the battery charge yet but will let you know! Thanks seller!!,5.0 out of 5 stars
Still kicking!,Lasted me over two years,5.0 out of 5 stars
Good phone,The phone is great I ordered it in good condition but nun wrong with it beside color chipping but it’s not noticeable thank y’all for y’all service I definitely gonna cop the 11 from yall,5.0 out of 5 stars
Like New,"Received the iPhone very fast, it is so clean like brand new, price is great and seller is perfect.",5.0 out of 5 stars
Great battery life,All around great phone,5.0 out of 5 stars
Like brand new,great price for like new phone.,5.0 out of 5 stars
Great deal,Honestly if you want a iPhone just buy it on here,5.0 out of 5 stars
Awesome!,Works great would swear it was straight from Apple if I wasn't told otherwise.,5.0 out of 5 stars
"Great used phone, works well",Bought this phone as a replacement for my kid. It works well & we haven't had any issues.,5.0 out of 5 stars
I ordered a XR and that’s what I got in the mail,Very Simple. I ordered a used phone and that’s what I got. It came with a screen protector already on it as well as a USB-C charger which surprised me. I order an unlocked phone and it came unlocked.,5.0 out of 5 stars
half the phone wasnt workin,The phone started clicking on its own and half of the phone wasnt working when i got it and the phone was cracked and the battery life was at 84.,
Microphone does not work,Received phone. Got it hooked up fine but when you make a call the person on the other line can not hear you at all. The microphone on the phone does not work. Took to phone company and had to pay 250 dollars to get it fixed. It cost me more to get it fixed than i paid for the phone. Not happy at all!!!!!,
Great looking phone but battery isn't great,"So I went out on a limb and bought a renewed phone. Blue iPhone xr for my daughter. It came quickly and it looks BRAND NEW! Love that about it. The accessories were 3rd party, but that's fine. The only complaint I have, is that the battery capacity is only 81%. It wears down pretty quickly. Quicker than most (if not all) of the phones I've ever owned. I'm going to replace it eventually, but overall, the phone is in perfect working condition and it looks great. I'm very impressed and would definitely buy again if ever needed too. My daughter loves her new to her phone.",
Good,Great phone‼️however the battery health was not what I expected.,5.0 out of 5 stars
Sadly Satisfied,I love the color also the phone works perfectly fine but the charger that came with it stopped working after one week of receiving it.,
Its alright,"The media could not be loaded.
                



 It took forever to come and make sure you pick it up from fedex they dont go to your doors anymore but the battery has that error still and i figured out that when the phone doesnt have a sim card in it … it does indeed has sos at the top right corner and if u put a sim card in it and its still there you would have to take the phone to your phone carrier and have them switch it in their system",
I phone,"Had some issues, turns off during a call, screen goes black occasionally during call",
Perfect!!,I am very satisfied with the phone. My daughter has been using it for almost 2 weeks now and has not had any issues. And when I say using it I mean “REALLY” using it. If she’s not chatting with friends she’s making videos or playing app games.  Not one issues has occurred. Buy with confidence you will be satisfied 👍🏻,5.0 out of 5 stars
Couldn’t barely hear calls,I got refurbished premium thinking I would get an excellent quality product but when trying to call people you could barely hear the person on the other end. I tried troubleshooting and watching YouTube videos on the issue but after wasting a whole day of my time I decided to return it. I don’t trust Amazon refurb products going forward. Don’t recommend.,
DO NOT BUY ANYTHING FROM THIS VENDOR.,"DO NOT BUY ANYTHING FROM THIS VENDOR.  THE DAMN PHONE DOESN'T WORK.  WAS REFERRED TO THE APPLE STORE TO GET IT DO NOT BUY ANYTHING FROM THIS VENDOR.  THE DAMN PHONE DOESN'T WORK.  WAS REFERRED TO THE APPLE STORE TO GET IT FIXED, TO NO AVAIL!",
iPhone review,"It’s okay , wasn’t able to use the apple face if to log into the phone only could use the password",
Apple RX,Very good phone and good battery life and good working thanks,5.0 out of 5 stars
Owener,Nice phones excellent condition will buy again thanks,5.0 out of 5 stars
Very disappointed!!,I liked the color that's about it.i even called Apple to help set up Apple ID. And they couldn't do it either. So I'm pretty bummed out about the phone.,
Great purchase,It works great. Would definitely buy again,5.0 out of 5 stars
Check the sellers before you buy,"The media could not be loaded.
                



 I decided to buy the iPhone XR from HybridIT, not only was it delivered within 2 days but it has a 99% battery, there’s not even a scratch on the screen. The only wear is a slight mark on the back of the phone that’s going to be covered by a case anyways. Absolutely so happy, I recommend making sure you buy from HybridIT because this is my second purchase of a different phone and it went above excellent condition in my opinion!",5.0 out of 5 stars
Content,I know the iPhone XR is old and obsolete but it never ceases to amaze me I love it,5.0 out of 5 stars
Sunshine yellow beauty!,Everything about the phone was great. It included a glass screen protector. Battery is awesome. Love it!,5.0 out of 5 stars
Working well,Perfect,5.0 out of 5 stars
I phone,It works great,
Good phone,My daughter loves it,5.0 out of 5 stars
Shakey Screen,"We had the phone about 3 days and the screen started shaking and wouldn't let select any of the apps.  Not sure if this phone was ""reconditioned"" properly..",
Really good!,Bottom of screen glitches sometimes. Battery life is so short🥲,
Screen went bad in 89 days. Hours on phone chat trying to resolve,"The screen started jumping on day 89. Contacted amazon as renewed warranty is 90 days. Had to watch 2 YouTube videos and try lots of steps, then after 2 hours they suggested I pay 75.00 to download another troubleshooting app which I refused. Then amazon said I had to contact 3rd party seller as they only warranty for 30 days. My last “Renewed” purchase",
Great value for intermediate tech users.,My dad is not a techie and does not take professional photos. So this alternative to get him a newer iPhone than what he had with a larger screen and a jump to face recognition at this price… great deal. Plus with 128gb he’ll never have to delete grandkid’s pics again because of lack of space.,5.0 out of 5 stars
iPhone XR,Seams to work well,5.0 out of 5 stars
Good,Good product fair price,5.0 out of 5 stars
Faulty Phones,"The media could not be loaded.
                



 My phones looked nice but they gave my 5 gb instead of 64 and they gave me a pretty crappy battery on both phones",
Good!,I love this phone and would recommend! The screen was scratched  but I would buy again if my phone breaks.,
2 weeks in …,I’ve had this phone for two weeks and it’s working perfectly fine. No scratches or chips. Very satisfied with my purchase!,5.0 out of 5 stars
Very good buy,Very good buy. I couldn't pay $700 plus for another phone for my kid and I've brought used phones from Amazon before without any problems. This was a very good deal. Unlocked and ready for set up the same day it arrived.,5.0 out of 5 stars
iPhone Xr -Piece of crap,"The refurbished phones from Amazon are pieces of crap, they don't seem to work more than a few weeks and then they fail. I have gone through two refurbished phones, both never lasted more than a week or two. Why Amazon puts up with this crap I'll never know. IN MY OPINION, you sell it, you are responsible for the product. Instead, Amazon quickly passes it off to third party responsibility, passing you off to third party people that don't live by Amazon standards. Slick avoidance if you ask me.",5.0 out of 5 stars
It’s what I expected for a renewed phone,Phone came as expected. Few little scratches but nothing major. Battery life is like a new phone.,5.0 out of 5 stars
CHECK THE PHONE THOROUGHLY BEFORE IT IS TOO LATE,"The cellular telephone came as promised. It looked good, no scratches, no chips, no dings. Battery was almost empty. Charged it up and turned the phone off. When I went to put the screen protector and case on the telephone I noticed that the phone's screen was blank (black) but there were sounds as though the phone was working.As you can guess, the phone is on it's way back to Amazon and I'll see how this return and refund goes.",
"Fragile piece of crap, but great battery","Of course it still has glass all the way up to the edge, completely unprotected. So it will break very easily even with a case on it. The battery is great. The face id is not. Losing the home button makes everything frustrating and harder to use. There ends up being too many fine little motions you have to learn in order just to get to the screen you want.",
Everything’s ok except the speaker.,The phones speaker on phone calls doesn’t work very well. All the sounds are muffled.,
Amazing,"The face recognition is perfect aswell as the screen quality and the battery life is fine for being refurbished, the maximum capacity 89.",5.0 out of 5 stars
Charger is cheap and don't work!,Charger is cheap and don't work!,
This was a gift,This was a gift to my father and he seems to be loving and enjoying it.,5.0 out of 5 stars
Won't stand behind their product,Phone lasted long enough to not be covered under the return policy . Save your money and go with a known local vender.  This phone was a complete bust. No response from the company.,
Worth the money,Everything just as described. Very fast for a 4 year old phone. Only issue was the battery died often. Would highly recommend purchasing!,5.0 out of 5 stars
Do not work wrong phone,I ordered a black phone a red phone came and it doesn’t turn on only the Apple on the screen popping up,
Horrible phone and customer service,This phone’s touchscreen stopped working the first week. Customer service is very hard to get ahold of and they wouldn’t replace or totally refund my phone.,
I returned this item.,I returned this itwm.,5.0 out of 5 stars
Still learning it’s new tricks,"This has lots of new things it’s capable of than my old 6s & I’m technically challenged so it’ll take my a while. It does NOT have a home button & I truly miss having that! Did I mention that I’m technically challenged 😂🤣😂🤣 I do like the bigger size screen, though.",5.0 out of 5 stars
The iPhone came with problem in the speakers,Unfortunately the iPhone came with problem in the speaker. But in overall condition it was good. But I will need to spend some money to fix the iPhone speaker. I can’t return it anymore because the phone is not with me.,
Looks and works brand new,Perfect condition. Comes with a certified refurbished certificate. True to size and description. Shipping was very fast. I was honestly shocked how fast it came after finding out it was shipped from New York I’m in Illinois. Highly recommend.,5.0 out of 5 stars
The item came damaged,This item came damaged it was really a diasppointment,
Would not buy it renewed sgain,"The phone looks and works ok. The battery life is not good, doesn’t change fast. The charger received with it is not original and the phone won’t accept it. It also gets super hot sometimes while using it. I don’t recommend buying it renewed if you are expecting more than this.",
Perfect phone ❤️ love it!,"Nothing is wrong really, although could be games on my phone that lags it out sometimes using a lot of data but again could be games photos etc. other then that amazing. Got my husband one too! ❤️",5.0 out of 5 stars
Couldn’t. Ask for a better phone,We love our xr and since we are hard on phones Amazon always gives us what we want,5.0 out of 5 stars
BUY IT,Definitely worth it ….,5.0 out of 5 stars
Really great quality!,When I bought this I was skeptical but the phone arrived in great condition was cleaned and packages very well and I received it very fast.,5.0 out of 5 stars
Perfect! THANKS!!,Perfect! THANKS!!,5.0 out of 5 stars
Great phone,I broke my phone and didn’t want to spend $900plus for a new phone. Ordered iPhone XR received in perfect condition and works great.,5.0 out of 5 stars
